Year,NORELC,VTEELC,CENELC,SOUELC
2021,14.955,8.087,5.323,2.494
2022,16.447,8.894,5.854,2.743
2023,17.832,9.643,6.347,2.974
2024,19.166,10.365,6.822,3.197
2025,20.445,11.057,7.277,3.41
2026,21.752,11.763,7.742,3.628
2027,23.059,12.47,8.207,3.846
2028,24.365,13.176,8.672,4.064
2029,25.672,13.883,9.137,4.282
2030,26.979,14.59,9.602,4.5
2031,28.832,15.592,10.262,4.809
2032,30.818,16.666,10.969,5.14
2033,32.948,17.818,11.727,5.495
2034,35.231,19.053,12.54,5.876
2035,37.681,20.377,13.411,6.284
2036,40.309,21.798,14.347,6.723
2037,43.129,23.324,15.35,7.193
2038,46.156,24.961,16.428,7.698
2039,49.407,26.719,17.585,8.24
2040,52.899,28.607,18.828,8.822
